population: 15139 problems after filtering
[10/1500] {'ok': 8, 'fail': 2}
[20/1500] {'ok': 16, 'fail': 4}
[30/1500] {'ok': 25, 'fail': 5}
[40/1500] {'ok': 29, 'fail': 11}
[50/1500] {'ok': 37, 'fail': 13}
[60/1500] {'ok': 45, 'fail': 15}
[70/1500] {'ok': 52, 'fail': 18}
[80/1500] {'ok': 60, 'fail': 20}
[90/1500] {'ok': 68, 'fail': 22}
[100/1500] {'ok': 72, 'fail': 28}
[110/1500] {'ok': 80, 'fail': 30}
[120/1500] {'ok': 85, 'fail': 35}
[130/1500] {'ok': 91, 'fail': 39}
[140/1500] {'ok': 98, 'fail': 42}
[150/1500] {'ok': 101, 'fail': 49}
[160/1500] {'ok': 108, 'fail': 52}
[170/1500] {'ok': 115, 'fail': 55}
[180/1500] {'ok': 122, 'fail': 58}
[190/1500] {'ok': 131, 'fail': 59}
[200/1500] {'ok': 139, 'fail': 61}
[210/1500] {'ok': 144, 'fail': 66}
[220/1500] {'ok': 151, 'fail': 69}
[230/1500] {'ok': 160, 'fail': 70}
[240/1500] {'ok': 165, 'fail': 75}
[250/1500] {'ok': 173, 'fail': 77}
[260/1500] {'ok': 181, 'fail': 79}
[270/1500] {'ok': 189, 'fail': 81}
[280/1500] {'ok': 197, 'fail': 83}
[290/1500] {'ok': 205, 'fail': 85}
[300/1500] {'ok': 207, 'fail': 93}
[310/1500] {'ok': 215, 'fail': 95}
[320/1500] {'ok': 223, 'fail': 97}
[330/1500] {'ok': 232, 'fail': 98}
[340/1500] {'ok': 240, 'fail': 100}
[350/1500] {'ok': 245, 'fail': 105}
[360/1500] {'ok': 252, 'fail': 108}
[370/1500] {'ok': 258, 'fail': 112}
[380/1500] {'ok': 266, 'fail': 114}
[390/1500] {'ok': 271, 'fail': 119}
[400/1500] {'ok': 279, 'fail': 121}
[410/1500] {'ok': 287, 'fail': 123}
[420/1500] {'ok': 293, 'fail': 127}
[430/1500] {'ok': 297, 'fail': 133}
[440/1500] {'ok': 305, 'fail': 135}
[450/1500] {'ok': 313, 'fail': 137}
[460/1500] {'ok': 321, 'fail': 139}
[470/1500] {'ok': 327, 'fail': 143}
[480/1500] {'ok': 327, 'fail': 153}
[490/1500] {'ok': 335, 'fail': 155}
[500/1500] {'ok': 343, 'fail': 157}
[510/1500] {'ok': 347, 'fail': 163}
[520/1500] {'ok': 351, 'fail': 169}
[530/1500] {'ok': 359, 'fail': 171}
[540/1500] {'ok': 363, 'fail': 177}
[550/1500] {'ok': 367, 'fail': 183}
[560/1500] {'ok': 375, 'fail': 185}
[570/1500] {'ok': 384, 'fail': 186}
[580/1500] {'ok': 389, 'fail': 191}
[590/1500] {'ok': 397, 'fail': 193}
[600/1500] {'ok': 406, 'fail': 194}
[610/1500] {'ok': 414, 'fail': 196}
[620/1500] {'ok': 423, 'fail': 197}
[630/1500] {'ok': 425, 'fail': 205}
[640/1500] {'ok': 429, 'fail': 211}
[650/1500] {'ok': 435, 'fail': 215}
[660/1500] {'ok': 443, 'fail': 217}
[670/1500] {'ok': 451, 'fail': 219}
[680/1500] {'ok': 459, 'fail': 221}
[690/1500] {'ok': 467, 'fail': 223}
[700/1500] {'ok': 471, 'fail': 229}
[710/1500] {'ok': 479, 'fail': 231}
[720/1500] {'ok': 487, 'fail': 233}
