population: 15139 problems after filtering
[10/1200] {'ok': 10}
[20/1200] {'ok': 20}
[30/1200] {'ok': 30}
[40/1200] {'ok': 40}
[50/1200] {'ok': 50}
[60/1200] {'ok': 58, 'fail': 2}
[70/1200] {'ok': 68, 'fail': 2}
[80/1200] {'ok': 78, 'fail': 2}
[90/1200] {'ok': 88, 'fail': 2}
[100/1200] {'ok': 94, 'fail': 6}
[110/1200] {'ok': 104, 'fail': 6}
[120/1200] {'ok': 110, 'fail': 10}
[130/1200] {'ok': 120, 'fail': 10}
[140/1200] {'ok': 130, 'fail': 10}
[150/1200] {'ok': 140, 'fail': 10}
[160/1200] {'ok': 150, 'fail': 10}
[170/1200] {'ok': 156, 'fail': 14}
[180/1200] {'ok': 166, 'fail': 14}
[190/1200] {'ok': 176, 'fail': 14}
[200/1200] {'ok': 186, 'fail': 14}
[210/1200] {'ok': 196, 'fail': 14}
[220/1200] {'ok': 206, 'fail': 14}
[230/1200] {'ok': 216, 'fail': 14}
[240/1200] {'ok': 222, 'fail': 18}
[250/1200] {'ok': 232, 'fail': 18}
[260/1200] {'ok': 242, 'fail': 18}
[270/1200] {'ok': 252, 'fail': 18}
[280/1200] {'ok': 258, 'fail': 22}
[290/1200] {'ok': 268, 'fail': 22}
[300/1200] {'ok': 278, 'fail': 22}
[310/1200] {'ok': 284, 'fail': 26}
[320/1200] {'ok': 294, 'fail': 26}
[330/1200] {'ok': 303, 'fail': 27}
[340/1200] {'ok': 312, 'fail': 28}
[350/1200] {'ok': 322, 'fail': 28}
[360/1200] {'ok': 332, 'fail': 28}
[370/1200] {'ok': 342, 'fail': 28}
[380/1200] {'ok': 348, 'fail': 32}
[390/1200] {'ok': 358, 'fail': 32}
[400/1200] {'ok': 368, 'fail': 32}
[410/1200] {'ok': 374, 'fail': 36}
[420/1200] {'ok': 380, 'fail': 40}
[430/1200] {'ok': 388, 'fail': 42}
[440/1200] {'ok': 396, 'fail': 44}
[450/1200] {'ok': 406, 'fail': 44}
[460/1200] {'ok': 416, 'fail': 44}
[470/1200] {'ok': 426, 'fail': 44}
[480/1200] {'ok': 436, 'fail': 44}
[490/1200] {'ok': 442, 'fail': 48}
[500/1200] {'ok': 448, 'fail': 52}
[510/1200] {'ok': 454, 'fail': 56}
[520/1200] {'ok': 464, 'fail': 56}
[530/1200] {'ok': 474, 'fail': 56}
[540/1200] {'ok': 484, 'fail': 56}
[550/1200] {'ok': 494, 'fail': 56}
[560/1200] {'ok': 500, 'fail': 60}
[570/1200] {'ok': 510, 'fail': 60}
[580/1200] {'ok': 520, 'fail': 60}
[590/1200] {'ok': 530, 'fail': 60}
[600/1200] {'ok': 540, 'fail': 60}
[610/1200] {'ok': 546, 'fail': 64}
[620/1200] {'ok': 556, 'fail': 64}
[630/1200] {'ok': 566, 'fail': 64}
[640/1200] {'ok': 576, 'fail': 64}
[650/1200] {'ok': 586, 'fail': 64}
[660/1200] {'ok': 596, 'fail': 64}
[670/1200] {'ok': 606, 'fail': 64}
[680/1200] {'ok': 616, 'fail': 64}
[690/1200] {'ok': 626, 'fail': 64}
[700/1200] {'ok': 636, 'fail': 64}
[710/1200] {'ok': 646, 'fail': 64}
[720/1200] {'ok': 656, 'fail': 64}
[730/1200] {'ok': 666, 'fail': 64}
[740/1200] {'ok': 676, 'fail': 64}
[750/1200] {'ok': 686, 'fail': 64}
[760/1200] {'ok': 696, 'fail': 64}
[770/1200] {'ok': 705, 'fail': 65}
[780/1200] {'ok': 710, 'fail': 70}
[790/1200] {'ok': 720, 'fail': 70}
[800/1200] {'ok': 726, 'fail': 74}
[810/1200] {'ok': 736, 'fail': 74}
[820/1200] {'ok': 746, 'fail': 74}
[830/1200] {'ok': 756, 'fail': 74}
[840/1200] {'ok': 766, 'fail': 74}
[850/1200] {'ok': 774, 'fail': 76}
[860/1200] {'ok': 784, 'fail': 76}
[870/1200] {'ok': 794, 'fail': 76}
[880/1200] {'ok': 800, 'fail': 80}
[890/1200] {'ok': 806, 'fail': 84}
[900/1200] {'ok': 816, 'fail': 84}
[910/1200] {'ok': 824, 'fail': 86}
[920/1200] {'ok': 832, 'fail': 88}
[930/1200] {'ok': 842, 'fail': 88}
[940/1200] {'ok': 852, 'fail': 88}
[950/1200] {'ok': 862, 'fail': 88}
[960/1200] {'ok': 872, 'fail': 88}
[970/1200] {'ok': 882, 'fail': 88}
[980/1200] {'ok': 892, 'fail': 88}
[990/1200] {'ok': 902, 'fail': 88}
[1000/1200] {'ok': 912, 'fail': 88}
[1010/1200] {'ok': 922, 'fail': 88}
[1020/1200] {'ok': 932, 'fail': 88}
[1030/1200] {'ok': 942, 'fail': 88}
[1040/1200] {'ok': 952, 'fail': 88}
[1050/1200] {'ok': 956, 'fail': 94}
[1060/1200] {'ok': 964, 'fail': 96}
[1070/1200] {'ok': 969, 'fail': 101}
[1080/1200] {'ok': 978, 'fail': 102}
[1090/1200] {'ok': 988, 'fail': 102}
[1100/1200] {'ok': 998, 'fail': 102}
[1110/1200] {'ok': 1008, 'fail': 102}
[1120/1200] {'ok': 1018, 'fail': 102}
[1130/1200] {'ok': 1026, 'fail': 104}
[1140/1200] {'ok': 1036, 'fail': 104}
[1150/1200] {'ok': 1046, 'fail': 104}
[1160/1200] {'ok': 1056, 'fail': 104}
[1170/1200] {'ok': 1066, 'fail': 104}
[1180/1200] {'ok': 1076, 'fail': 104}
[1190/1200] {'ok': 1086, 'fail': 104}
[1200/1200] {'ok': 1096, 'fail': 104}
done: {'ok': 1096, 'fail': 104}
