population: 15139 problems after filtering
[10/900] {'ok': 10}
[20/900] {'ok': 20}
[30/900] {'ok': 30}
[40/900] {'ok': 40}
[50/900] {'ok': 49, 'fail': 1}
[60/900] {'ok': 59, 'fail': 1}
[70/900] {'ok': 68, 'fail': 2}
[80/900] {'ok': 76, 'fail': 4}
[90/900] {'ok': 86, 'fail': 4}
[100/900] {'ok': 96, 'fail': 4}
[110/900] {'ok': 106, 'fail': 4}
[120/900] {'ok': 116, 'fail': 4}
[130/900] {'ok': 124, 'fail': 6}
[140/900] {'ok': 133, 'fail': 7}
[150/900] {'ok': 143, 'fail': 7}
[160/900] {'ok': 153, 'fail': 7}
[170/900] {'ok': 163, 'fail': 7}
[180/900] {'ok': 173, 'fail': 7}
[190/900] {'ok': 183, 'fail': 7}
[200/900] {'ok': 193, 'fail': 7}
[210/900] {'ok': 201, 'fail': 9}
[220/900] {'ok': 210, 'fail': 10}
[230/900] {'ok': 218, 'fail': 12}
[240/900] {'ok': 227, 'fail': 13}
[250/900] {'ok': 237, 'fail': 13}
[260/900] {'ok': 246, 'fail': 14}
[270/900] {'ok': 256, 'fail': 14}
[280/900] {'ok': 266, 'fail': 14}
[290/900] {'ok': 273, 'fail': 17}
[300/900] {'ok': 283, 'fail': 17}
[310/900] {'ok': 292, 'fail': 18}
[320/900] {'ok': 300, 'fail': 20}
[330/900] {'ok': 310, 'fail': 20}
[340/900] {'ok': 320, 'fail': 20}
[350/900] {'ok': 330, 'fail': 20}
[360/900] {'ok': 340, 'fail': 20}
[370/900] {'ok': 347, 'fail': 23}
[380/900] {'ok': 352, 'fail': 28}
[390/900] {'ok': 361, 'fail': 29}
[400/900] {'ok': 371, 'fail': 29}
[410/900] {'ok': 381, 'fail': 29}
[420/900] {'ok': 389, 'fail': 31}
[430/900] {'ok': 398, 'fail': 32}
[440/900] {'ok': 408, 'fail': 32}
[450/900] {'ok': 418, 'fail': 32}
[460/900] {'ok': 428, 'fail': 32}
[470/900] {'ok': 438, 'fail': 32}
[480/900] {'ok': 448, 'fail': 32}
[490/900] {'ok': 458, 'fail': 32}
[500/900] {'ok': 468, 'fail': 32}
[510/900] {'ok': 478, 'fail': 32}
[520/900] {'ok': 488, 'fail': 32}
[530/900] {'ok': 498, 'fail': 32}
[540/900] {'ok': 508, 'fail': 32}
[550/900] {'ok': 518, 'fail': 32}
[560/900] {'ok': 528, 'fail': 32}
[570/900] {'ok': 538, 'fail': 32}
[580/900] {'ok': 546, 'fail': 34}
[590/900] {'ok': 556, 'fail': 34}
[600/900] {'ok': 564, 'fail': 36}
[610/900] {'ok': 573, 'fail': 37}
[620/900] {'ok': 583, 'fail': 37}
[630/900] {'ok': 593, 'fail': 37}
[640/900] {'ok': 602, 'fail': 38}
[650/900] {'ok': 611, 'fail': 39}
[660/900] {'ok': 619, 'fail': 41}
[670/900] {'ok': 628, 'fail': 42}
[680/900] {'ok': 638, 'fail': 42}
[690/900] {'ok': 645, 'fail': 45}
[700/900] {'ok': 655, 'fail': 45}
[710/900] {'ok': 665, 'fail': 45}
[720/900] {'ok': 675, 'fail': 45}
[730/900] {'ok': 685, 'fail': 45}
[740/900] {'ok': 695, 'fail': 45}
[750/900] {'ok': 705, 'fail': 45}
[760/900] {'ok': 715, 'fail': 45}
[770/900] {'ok': 725, 'fail': 45}
[780/900] {'ok': 735, 'fail': 45}
[790/900] {'ok': 739, 'fail': 51}
[800/900] {'ok': 747, 'fail': 53}
[810/900] {'ok': 754, 'fail': 56}
[820/900] {'ok': 764, 'fail': 56}
[830/900] {'ok': 774, 'fail': 56}
[840/900] {'ok': 784, 'fail': 56}
[850/900] {'ok': 793, 'fail': 57}
[860/900] {'ok': 803, 'fail': 57}
[870/900] {'ok': 813, 'fail': 57}
[880/900] {'ok': 823, 'fail': 57}
[890/900] {'ok': 833, 'fail': 57}
[900/900] {'ok': 843, 'fail': 57}
done: {'ok': 843, 'fail': 57}
