population: 15139 problems after filtering
[10/1500] {'ok': 10}
[20/1500] {'ok': 20}
[30/1500] {'ok': 30}
[40/1500] {'ok': 40}
[50/1500] {'ok': 50}
[60/1500] {'ok': 60}
[70/1500] {'ok': 70}
[80/1500] {'ok': 80}
[90/1500] {'ok': 90}
[100/1500] {'ok': 100}
[110/1500] {'ok': 110}
[120/1500] {'ok': 116, 'fail': 4}
[130/1500] {'ok': 126, 'fail': 4}
[140/1500] {'ok': 136, 'fail': 4}
[150/1500] {'ok': 141, 'fail': 9}
[160/1500] {'ok': 151, 'fail': 9}
[170/1500] {'ok': 161, 'fail': 9}
[180/1500] {'ok': 171, 'fail': 9}
[190/1500] {'ok': 181, 'fail': 9}
[200/1500] {'ok': 191, 'fail': 9}
[210/1500] {'ok': 196, 'fail': 14}
[220/1500] {'ok': 203, 'fail': 17}
[230/1500] {'ok': 209, 'fail': 21}
[240/1500] {'ok': 219, 'fail': 21}
[250/1500] {'ok': 229, 'fail': 21}
[260/1500] {'ok': 239, 'fail': 21}
[270/1500] {'ok': 249, 'fail': 21}
[280/1500] {'ok': 259, 'fail': 21}
[290/1500] {'ok': 269, 'fail': 21}
[300/1500] {'ok': 274, 'fail': 26}
[310/1500] {'ok': 284, 'fail': 26}
[320/1500] {'ok': 294, 'fail': 26}
[330/1500] {'ok': 304, 'fail': 26}
[340/1500] {'ok': 314, 'fail': 26}
[350/1500] {'ok': 319, 'fail': 31}
[360/1500] {'ok': 326, 'fail': 34}
[370/1500] {'ok': 336, 'fail': 34}
[380/1500] {'ok': 346, 'fail': 34}
[390/1500] {'ok': 351, 'fail': 39}
[400/1500] {'ok': 360, 'fail': 40}
[410/1500] {'ok': 370, 'fail': 40}
[420/1500] {'ok': 380, 'fail': 40}
[430/1500] {'ok': 390, 'fail': 40}
[440/1500] {'ok': 400, 'fail': 40}
[450/1500] {'ok': 410, 'fail': 40}
[460/1500] {'ok': 420, 'fail': 40}
[470/1500] {'ok': 430, 'fail': 40}
[480/1500] {'ok': 432, 'fail': 48}
[490/1500] {'ok': 442, 'fail': 48}
[500/1500] {'ok': 452, 'fail': 48}
[510/1500] {'ok': 457, 'fail': 53}
[520/1500] {'ok': 462, 'fail': 58}
[530/1500] {'ok': 472, 'fail': 58}
[540/1500] {'ok': 477, 'fail': 63}
[550/1500] {'ok': 487, 'fail': 63}
[560/1500] {'ok': 497, 'fail': 63}
[570/1500] {'ok': 507, 'fail': 63}
[580/1500] {'ok': 517, 'fail': 63}
[590/1500] {'ok': 527, 'fail': 63}
[600/1500] {'ok': 537, 'fail': 63}
[610/1500] {'ok': 542, 'fail': 68}
[620/1500] {'ok': 552, 'fail': 68}
[630/1500] {'ok': 557, 'fail': 73}
[640/1500] {'ok': 562, 'fail': 78}
[650/1500] {'ok': 572, 'fail': 78}
