population: 130497 problems after filtering
[10/300] {'timeout': 4, 'fail': 4, 'crash': 1, 'ok': 1}
[20/300] {'timeout': 8, 'fail': 7, 'crash': 4, 'ok': 1}
[30/300] {'timeout': 11, 'fail': 11, 'crash': 5, 'ok': 3}
[40/300] {'timeout': 16, 'fail': 14, 'crash': 7, 'ok': 3}
[50/300] {'timeout': 19, 'fail': 18, 'crash': 10, 'ok': 3}
[60/300] {'timeout': 22, 'fail': 24, 'crash': 11, 'ok': 3}
[70/300] {'timeout': 28, 'fail': 27, 'crash': 11, 'ok': 4}
[80/300] {'timeout': 31, 'fail': 31, 'crash': 12, 'ok': 6}
[90/300] {'timeout': 34, 'fail': 36, 'crash': 14, 'ok': 6}
[100/300] {'timeout': 38, 'fail': 39, 'crash': 15, 'ok': 8}
[110/300] {'timeout': 42, 'fail': 44, 'crash': 16, 'ok': 8}
[120/300] {'timeout': 46, 'fail': 48, 'crash': 18, 'ok': 8}
[130/300] {'timeout': 50, 'fail': 52, 'crash': 18, 'ok': 10}
[140/300] {'timeout': 54, 'fail': 55, 'crash': 19, 'ok': 12}
[150/300] {'timeout': 60, 'fail': 59, 'crash': 19, 'ok': 12}
[160/300] {'timeout': 62, 'fail': 65, 'crash': 21, 'ok': 12}
[170/300] {'timeout': 66, 'fail': 69, 'crash': 22, 'ok': 13}
[180/300] {'timeout': 70, 'fail': 71, 'crash': 26, 'ok': 13}
[190/300] {'timeout': 71, 'fail': 73, 'crash': 30, 'ok': 16}
[200/300] {'timeout': 72, 'fail': 81, 'crash': 31, 'ok': 16}
[210/300] {'timeout': 76, 'fail': 86, 'crash': 32, 'ok': 16}
[220/300] {'timeout': 78, 'fail': 90, 'crash': 35, 'ok': 17}
[230/300] {'timeout': 81, 'fail': 95, 'crash': 37, 'ok': 17}
[240/300] {'timeout': 83, 'fail': 101, 'crash': 39, 'ok': 17}
[250/300] {'timeout': 88, 'fail': 103, 'crash': 41, 'ok': 18}
[260/300] {'timeout': 90, 'fail': 108, 'crash': 44, 'ok': 18}
[270/300] {'timeout': 93, 'fail': 112, 'crash': 47, 'ok': 18}
[280/300] {'timeout': 97, 'fail': 114, 'crash': 51, 'ok': 18}
[290/300] {'timeout': 102, 'fail': 115, 'crash': 55, 'ok': 18}
[300/300] {'timeout': 104, 'fail': 118, 'crash': 60, 'ok': 18}
done: {'timeout': 104, 'fail': 118, 'crash': 60, 'ok': 18}
