population: 130497 problems after filtering
[10/600] {'fail': 4, 'timeout': 4, 'crash': 2}
[20/600] {'fail': 8, 'timeout': 8, 'crash': 2, 'ok': 2}
[30/600] {'fail': 12, 'timeout': 12, 'crash': 4, 'ok': 2}
[40/600] {'fail': 15, 'timeout': 15, 'crash': 8, 'ok': 2}
[50/600] {'fail': 16, 'timeout': 21, 'crash': 9, 'ok': 4}
[60/600] {'fail': 22, 'timeout': 22, 'crash': 10, 'ok': 6}
[70/600] {'fail': 22, 'timeout': 30, 'crash': 12, 'ok': 6}
[80/600] {'fail': 28, 'timeout': 32, 'crash': 14, 'ok': 6}
[90/600] {'fail': 30, 'timeout': 38, 'crash': 16, 'ok': 6}
[100/600] {'fail': 36, 'timeout': 39, 'crash': 19, 'ok': 6}
[110/600] {'fail': 42, 'timeout': 43, 'crash': 19, 'ok': 6}
[120/600] {'fail': 46, 'timeout': 48, 'crash': 20, 'ok': 6}
[130/600] {'fail': 48, 'timeout': 53, 'crash': 23, 'ok': 6}
[140/600] {'fail': 51, 'timeout': 58, 'crash': 24, 'ok': 7}
[150/600] {'fail': 52, 'timeout': 64, 'crash': 25, 'ok': 9}
[160/600] {'fail': 56, 'timeout': 66, 'crash': 27, 'ok': 11}
[170/600] {'fail': 60, 'timeout': 68, 'crash': 31, 'ok': 11}
[180/600] {'fail': 66, 'timeout': 72, 'crash': 31, 'ok': 11}
[190/600] {'fail': 68, 'timeout': 76, 'crash': 33, 'ok': 13}
[200/600] {'fail': 70, 'timeout': 82, 'crash': 33, 'ok': 15}
[210/600] {'fail': 76, 'timeout': 86, 'crash': 33, 'ok': 15}
[220/600] {'fail': 80, 'timeout': 90, 'crash': 35, 'ok': 15}
[230/600] {'fail': 80, 'timeout': 96, 'crash': 39, 'ok': 15}
[240/600] {'fail': 86, 'timeout': 100, 'crash': 39, 'ok': 15}
[250/600] {'fail': 92, 'timeout': 103, 'crash': 39, 'ok': 16}
[260/600] {'fail': 95, 'timeout': 107, 'crash': 39, 'ok': 19}
[270/600] {'fail': 100, 'timeout': 111, 'crash': 40, 'ok': 19}
[280/600] {'fail': 101, 'timeout': 117, 'crash': 40, 'ok': 22}
[290/600] {'fail': 105, 'timeout': 121, 'crash': 42, 'ok': 22}
[300/600] {'fail': 108, 'timeout': 127, 'crash': 42, 'ok': 23}
[310/600] {'fail': 113, 'timeout': 129, 'crash': 45, 'ok': 23}
[320/600] {'fail': 116, 'timeout': 133, 'crash': 47, 'ok': 24}
[330/600] {'fail': 121, 'timeout': 138, 'crash': 47, 'ok': 24}
[340/600] {'fail': 125, 'timeout': 140, 'crash': 49, 'ok': 26}
[350/600] {'fail': 128, 'timeout': 143, 'crash': 53, 'ok': 26}
[360/600] {'fail': 128, 'timeout': 148, 'crash': 58, 'ok': 26}
[370/600] {'fail': 132, 'timeout': 150, 'crash': 59, 'ok': 29}
[380/600] {'fail': 133, 'timeout': 150, 'crash': 65, 'ok': 32}
[390/600] {'fail': 138, 'timeout': 152, 'crash': 68, 'ok': 32}
[400/600] {'fail': 144, 'timeout': 155, 'crash': 69, 'ok': 32}
[410/600] {'fail': 151, 'timeout': 156, 'crash': 71, 'ok': 32}
[420/600] {'fail': 153, 'timeout': 164, 'crash': 71, 'ok': 32}
[430/600] {'fail': 157, 'timeout': 166, 'crash': 73, 'ok': 34}
[440/600] {'fail': 160, 'timeout': 169, 'crash': 77, 'ok': 34}
[450/600] {'fail': 162, 'timeout': 173, 'crash': 81, 'ok': 34}
[460/600] {'fail': 167, 'timeout': 178, 'crash': 81, 'ok': 34}
[470/600] {'fail': 173, 'timeout': 180, 'crash': 83, 'ok': 34}
[480/600] {'fail': 180, 'timeout': 181, 'crash': 85, 'ok': 34}
[490/600] {'fail': 183, 'timeout': 184, 'crash': 87, 'ok': 36}
[500/600] {'fail': 185, 'timeout': 190, 'crash': 89, 'ok': 36}
[510/600] {'fail': 193, 'timeout': 190, 'crash': 91, 'ok': 36}
[520/600] {'fail': 195, 'timeout': 194, 'crash': 95, 'ok': 36}
[530/600] {'fail': 197, 'timeout': 200, 'crash': 97, 'ok': 36}
[540/600] {'fail': 202, 'timeout': 200, 'crash': 102, 'ok': 36}
[550/600] {'fail': 206, 'timeout': 204, 'crash': 104, 'ok': 36}
[560/600] {'fail': 206, 'timeout': 208, 'crash': 110, 'ok': 36}
[570/600] {'fail': 206, 'timeout': 214, 'crash': 114, 'ok': 36}
[580/600] {'fail': 208, 'timeout': 219, 'crash': 117, 'ok': 36}
[590/600] {'fail': 210, 'timeout': 221, 'crash': 123, 'ok': 36}
[600/600] {'fail': 213, 'timeout': 223, 'crash': 127, 'ok': 37}
done: {'fail': 213, 'timeout': 223, 'crash': 127, 'ok': 37}
