population: 15139 problems after filtering
[10/600] {'timeout': 4, 'fail': 4, 'crash': 2}
[20/600] {'timeout': 10, 'fail': 7, 'crash': 2, 'ok': 1}
[30/600] {'timeout': 12, 'fail': 9, 'crash': 8, 'ok': 1}
[40/600] {'timeout': 17, 'fail': 11, 'crash': 11, 'ok': 1}
[50/600] {'timeout': 19, 'fail': 19, 'crash': 11, 'ok': 1}
[60/600] {'timeout': 22, 'fail': 25, 'crash': 11, 'ok': 2}
[70/600] {'timeout': 28, 'fail': 27, 'crash': 13, 'ok': 2}
[80/600] {'timeout': 32, 'fail': 29, 'crash': 17, 'ok': 2}
[90/600] {'timeout': 38, 'fail': 29, 'crash': 21, 'ok': 2}
[100/600] {'timeout': 42, 'fail': 31, 'crash': 25, 'ok': 2}
[110/600] {'timeout': 49, 'fail': 34, 'crash': 25, 'ok': 2}
[120/600] {'timeout': 53, 'fail': 39, 'crash': 26, 'ok': 2}
[130/600] {'timeout': 59, 'fail': 39, 'crash': 30, 'ok': 2}
[140/600] {'timeout': 66, 'fail': 42, 'crash': 30, 'ok': 2}
[150/600] {'timeout': 74, 'fail': 44, 'crash': 30, 'ok': 2}
[160/600] {'timeout': 84, 'fail': 44, 'crash': 30, 'ok': 2}
[170/600] {'timeout': 90, 'fail': 46, 'crash': 32, 'ok': 2}
[180/600] {'timeout': 95, 'fail': 48, 'crash': 34, 'ok': 3}
[190/600] {'timeout': 99, 'fail': 51, 'crash': 37, 'ok': 3}
[200/600] {'timeout': 102, 'fail': 57, 'crash': 38, 'ok': 3}
[210/600] {'timeout': 108, 'fail': 60, 'crash': 39, 'ok': 3}
[220/600] {'timeout': 114, 'fail': 61, 'crash': 42, 'ok': 3}
[230/600] {'timeout': 114, 'fail': 68, 'crash': 45, 'ok': 3}
[240/600] {'timeout': 119, 'fail': 71, 'crash': 47, 'ok': 3}
[250/600] {'timeout': 129, 'fail': 71, 'crash': 47, 'ok': 3}
[260/600] {'timeout': 138, 'fail': 72, 'crash': 47, 'ok': 3}
[270/600] {'timeout': 147, 'fail': 73, 'crash': 47, 'ok': 3}
[280/600] {'timeout': 150, 'fail': 77, 'crash': 48, 'ok': 5}
[290/600] {'timeout': 155, 'fail': 81, 'crash': 49, 'ok': 5}
[300/600] {'timeout': 160, 'fail': 85, 'crash': 49, 'ok': 6}
[310/600] {'timeout': 162, 'fail': 90, 'crash': 52, 'ok': 6}
[320/600] {'timeout': 166, 'fail': 96, 'crash': 52, 'ok': 6}
[330/600] {'timeout': 173, 'fail': 97, 'crash': 54, 'ok': 6}
[340/600] {'timeout': 175, 'fail': 102, 'crash': 56, 'ok': 7}
[350/600] {'timeout': 181, 'fail': 106, 'crash': 56, 'ok': 7}
[360/600] {'timeout': 183, 'fail': 112, 'crash': 58, 'ok': 7}
[370/600] {'timeout': 184, 'fail': 119, 'crash': 60, 'ok': 7}
[380/600] {'timeout': 188, 'fail': 123, 'crash': 62, 'ok': 7}
[390/600] {'timeout': 191, 'fail': 130, 'crash': 62, 'ok': 7}
[400/600] {'timeout': 197, 'fail': 132, 'crash': 64, 'ok': 7}
[410/600] {'timeout': 201, 'fail': 136, 'crash': 64, 'ok': 9}
[420/600] {'timeout': 205, 'fail': 138, 'crash': 66, 'ok': 11}
[430/600] {'timeout': 210, 'fail': 141, 'crash': 68, 'ok': 11}
[440/600] {'timeout': 213, 'fail': 144, 'crash': 72, 'ok': 11}
[450/600] {'timeout': 218, 'fail': 147, 'crash': 74, 'ok': 11}
[460/600] {'timeout': 224, 'fail': 151, 'crash': 74, 'ok': 11}
[470/600] {'timeout': 228, 'fail': 157, 'crash': 74, 'ok': 11}
[480/600] {'timeout': 232, 'fail': 161, 'crash': 76, 'ok': 11}
[490/600] {'timeout': 238, 'fail': 165, 'crash': 76, 'ok': 11}
[500/600] {'timeout': 243, 'fail': 170, 'crash': 76, 'ok': 11}
[510/600] {'timeout': 248, 'fail': 175, 'crash': 76, 'ok': 11}
[520/600] {'timeout': 255, 'fail': 176, 'crash': 78, 'ok': 11}
[530/600] {'timeout': 258, 'fail': 181, 'crash': 79, 'ok': 12}
[540/600] {'timeout': 265, 'fail': 183, 'crash': 79, 'ok': 13}
[550/600] {'timeout': 270, 'fail': 187, 'crash': 80, 'ok': 13}
[560/600] {'timeout': 274, 'fail': 192, 'crash': 80, 'ok': 14}
[570/600] {'timeout': 280, 'fail': 193, 'crash': 83, 'ok': 14}
[580/600] {'timeout': 284, 'fail': 196, 'crash': 85, 'ok': 15}
[590/600] {'timeout': 287, 'fail': 203, 'crash': 85, 'ok': 15}
[600/600] {'timeout': 295, 'fail': 205, 'crash': 85, 'ok': 15}
done: {'timeout': 295, 'fail': 205, 'crash': 85, 'ok': 15}
