population: 130497 problems after filtering
[10/1200] {'fail': 8, 'ok': 2}
[20/1200] {'fail': 18, 'ok': 2}
[30/1200] {'fail': 23, 'ok': 7}
[40/1200] {'fail': 31, 'ok': 8, 'error': 1}
[50/1200] {'fail': 39, 'ok': 10, 'error': 1}
[60/1200] {'fail': 48, 'ok': 10, 'error': 2}
[70/1200] {'fail': 55, 'ok': 12, 'error': 3}
[80/1200] {'fail': 62, 'ok': 14, 'error': 3, 'timeout': 1}
[90/1200] {'fail': 68, 'ok': 15, 'error': 6, 'timeout': 1}
[100/1200] {'fail': 75, 'ok': 15, 'error': 8, 'timeout': 2}
[110/1200] {'fail': 79, 'ok': 21, 'error': 8, 'timeout': 2}
[120/1200] {'fail': 87, 'ok': 23, 'error': 8, 'timeout': 2}
[130/1200] {'fail': 96, 'ok': 24, 'error': 8, 'timeout': 2}
[140/1200] {'fail': 103, 'ok': 27, 'error': 8, 'timeout': 2}
[150/1200] {'fail': 113, 'ok': 27, 'error': 8, 'timeout': 2}
[160/1200] {'fail': 122, 'ok': 28, 'error': 8, 'timeout': 2}
[170/1200] {'fail': 131, 'ok': 28, 'error': 9, 'timeout': 2}
[180/1200] {'fail': 141, 'ok': 28, 'error': 9, 'timeout': 2}
[190/1200] {'fail': 150, 'ok': 28, 'error': 10, 'timeout': 2}
[200/1200] {'fail': 158, 'ok': 28, 'error': 10, 'timeout': 2, 'crash': 2}
[210/1200] {'fail': 168, 'ok': 28, 'error': 10, 'timeout': 2, 'crash': 2}
[220/1200] {'fail': 174, 'ok': 28, 'error': 14, 'timeout': 2, 'crash': 2}
[230/1200] {'fail': 181, 'ok': 30, 'error': 15, 'timeout': 2, 'crash': 2}
[240/1200] {'fail': 187, 'ok': 31, 'error': 18, 'timeout': 2, 'crash': 2}
[250/1200] {'fail': 190, 'ok': 38, 'error': 18, 'timeout': 2, 'crash': 2}
[260/1200] {'fail': 197, 'ok': 40, 'error': 19, 'timeout': 2, 'crash': 2}
[270/1200] {'fail': 206, 'ok': 40, 'error': 20, 'timeout': 2, 'crash': 2}
[280/1200] {'fail': 216, 'ok': 40, 'error': 20, 'timeout': 2, 'crash': 2}
[290/1200] {'fail': 223, 'ok': 42, 'error': 21, 'timeout': 2, 'crash': 2}
[300/1200] {'fail': 228, 'ok': 46, 'error': 22, 'timeout': 2, 'crash': 2}
[310/1200] {'fail': 234, 'ok': 50, 'error': 22, 'timeout': 2, 'crash': 2}
[320/1200] {'fail': 244, 'ok': 50, 'error': 22, 'timeout': 2, 'crash': 2}
[330/1200] {'fail': 253, 'ok': 51, 'error': 22, 'timeout': 2, 'crash': 2}
[340/1200] {'fail': 255, 'ok': 54, 'error': 25, 'timeout': 4, 'crash': 2}
[350/1200] {'fail': 264, 'ok': 54, 'error': 26, 'timeout': 4, 'crash': 2}
[360/1200] {'fail': 272, 'ok': 54, 'error': 28, 'timeout': 4, 'crash': 2}
[370/1200] {'fail': 280, 'ok': 54, 'error': 28, 'timeout': 6, 'crash': 2}
[380/1200] {'fail': 283, 'ok': 58, 'error': 31, 'timeout': 6, 'crash': 2}
[390/1200] {'fail': 287, 'ok': 63, 'error': 32, 'timeout': 6, 'crash': 2}
[400/1200] {'fail': 297, 'ok': 63, 'error': 32, 'timeout': 6, 'crash': 2}
[410/1200] {'fail': 305, 'ok': 65, 'error': 32, 'timeout': 6, 'crash': 2}
[420/1200] {'fail': 313, 'ok': 65, 'error': 32, 'timeout': 6, 'crash': 4}
[430/1200] {'fail': 320, 'ok': 68, 'error': 32, 'timeout': 6, 'crash': 4}
[440/1200] {'fail': 326, 'ok': 70, 'error': 34, 'timeout': 6, 'crash': 4}
[450/1200] {'fail': 336, 'ok': 70, 'error': 34, 'timeout': 6, 'crash': 4}
[460/1200] {'fail': 342, 'ok': 72, 'error': 35, 'timeout': 6, 'crash': 5}
[470/1200] {'fail': 351, 'ok': 72, 'error': 36, 'timeout': 6, 'crash': 5}
[480/1200] {'fail': 357, 'ok': 72, 'error': 36, 'timeout': 8, 'crash': 7}
[490/1200] {'fail': 366, 'ok': 72, 'error': 37, 'timeout': 8, 'crash': 7}
[500/1200] {'fail': 375, 'ok': 73, 'error': 37, 'timeout': 8, 'crash': 7}
[510/1200] {'fail': 379, 'ok': 79, 'error': 37, 'timeout': 8, 'crash': 7}
[520/1200] {'fail': 387, 'ok': 80, 'error': 38, 'timeout': 8, 'crash': 7}
[530/1200] {'fail': 394, 'ok': 83, 'error': 38, 'timeout': 8, 'crash': 7}
